p_grid_psi,bo_rb_stb,bg_rb_scf,rs_scf_stb
1500.0,1.1027105240716233,0.0007068480724829,1313.935903356068
1750.0,1.1027105240716233,0.0007068480724829,1313.935903356068
2000.0,1.1027105240716233,0.0007068480724829,1313.935903356068
2250.0,1.1027105240716233,0.0007068480724829,1313.935903356068
2500.0,1.1027105240716233,0.0007068480724829,1313.935903356068
2750.0,1.1027105240716233,0.0007068480724829,1313.935903356068
3000.0,1.1027105240716233,0.0007068480724829,1313.935903356068
3250.0,1.1027105240716233,0.0007068480724829,1313.935903356068
3500.0,1.1071248655822081,0.0006723010519652668,1359.9985973795617
3750.0,1.1137493554778666,0.0006254666829486,1431.2429102565309
4000.0,1.119999133986304,0.0005849056204288,1499.9904738493442
4250.0,1.1197250139145523,0.0005849,1500.0
4500.0,1.1196196955808355,0.0005849,1500.0
4750.0,1.1196196955808355,0.0005849,1500.0
5000.0,1.1196196955808355,0.0005849,1500.0
5250.0,1.1196196955808355,0.0005849,1500.0
5500.0,1.1196196955808355,0.0005849,1500.0
